marca,modelo,sistema,lanzamiento
Asus,Asus Zenfone 3 Laser ZC551KL,"Android 6.1, up to Android 8.0",2016
iNQ,iNQ Cloud Touch,Android 2.2,2011
alcatel,alcatel Net,Feature phone,2010
ZTE,ZTE Light Tab V9C,"Android 2.1, up to 2.2",2011
Energizer,Energizer Energy 100,Feature phone,2016
Posh,Posh Volt Max LTE L640,Android 5.1,2016
Samsung,Samsung Galaxy J1 mini prime,"Android 5.1 - 3G model
6.0 - LTE model",2016
Yezz,Yezz Andy 5EI3 (2016),Android 6.0,2016
ZTE,ZTE Axon 10s Pro 5G,"Android 10, MiFavor 10",2020
Nokia,Nokia 6136,Feature phone,2006
Celkon,Celkon A115,Android 4.2.2,2014
Realme,Realme Q2i,"Android 10, Realme UI",2020
Nokia,Nokia 8890,Feature phone,2000
Lenovo,Lenovo Tab 4 8 Plus,Android 7.0,2017
Prestigio,Prestigio MultiPad 8.0 Pro Duo,Android 4.0,2013
Siemens,Siemens SL45i,Feature phone,2001
LG,LG Scarlet II TV,Feature phone,2010
BLU,BLU Grand XL,Android 7.0,2017
Samsung,Samsung B6520 Omnia PRO 5,Microsoft Windows Mobile 6.5 Standard,2010
Nokia,Nokia Asha 305,Feature phone,2012
LG,LG Phoenix P505,"Android 2.2, up to 2.3",2011
LeEco,LeEco Le Pro3,"Android 6.0, eUI 5.8",2016
Plum,Plum Phantom 2,Android 8.0 Oreo,2019
Maxwest,Maxwest Nitro Phablet 71,Android 4.4.2,2015
Samsung,Samsung I6210,Feature phone,2009
Sony,Sony Ericsson C902,Feature phone,2008
Lenovo,Lenovo Yoga Smart Tab,Android 9.0,2019
Samsung,Samsung P960,Feature phone,2008
alcatel,alcatel ELLE GlamPhone,Feature phone,2009
Bird,Bird S1130,Feature phone,2007
Microsoft,Microsoft Kin Two,Feature phone,0
Celkon,Celkon A60,Android 4.0.4,2013
Gionee,Gionee S10C,"Android 7.1.1, Amigo 5",2017
LG,LG Vu Plus,Feature phone,2010
Gionee,Gionee Marathon M5 lite,"Android 5.1, Amigo 3.1",2016
LG,LG Scarlet II TV,Feature phone,2010
Asus,Asus Fonepad 7,"Android 4.2, up to 4.4.2",2013
Yezz,Yezz Art 1 Pro,Android 10,2020
