marca,modelo,sistema,lanzamiento
Huawei,Huawei Premia 4G M931,Android 4.0,2013
Celkon,Celkon C867,Feature phone,2010
Prestigio,Prestigio MultiPad 10.1 Ultimate 3G,Android 4.0,2013
Meizu,Meizu X8,"Android 8.0, Flyme UI",2018
Allview,Allview Twin X2,Android 4.4.2,2014
Xiaomi,Xiaomi Black Shark,Android 8.0,2018
Sony,Sony CMD J6,Feature phone,2001
Prestigio,Prestigio MultiPad 7.0 HD +,Android 4.1,2013
Asus,Asus Zenfone 7 Pro,"Android 10, up to Android 11, ZenUI 8",2020
Google,Google Pixel C,"Android 6.0.1, up to Android 8.0",2015
vivo,vivo Y73s,"Android 10, Funtouch 10.5",2020
Icemobile,Icemobile Diamond Dust,Feature phone,2012
HTC,HTC One M9,"Android 5.0, up to 7.0, Sense UI 7",2015
Motorola,Motorola StarTAC 130,Feature phone,1998
Pantech,Pantech PG-1200,Feature phone,2005
Celkon,Celkon C262,Feature phone,2012
Motorola,Motorola Moto C Plus,Android 7.0,2017
Tecno,Tecno Pouvoir 3 Plus,"Android 9.0, HIOS 5.0",2019
HTC,HTC Desire 530,Android 6.0,2016
Samsung,Samsung Impact b,Feature phone,2008
alcatel,alcatel One Touch Snap LTE,Android 4.1,2013
Xiaomi,Xiaomi Redmi Note 5 Pro,"Android 7.1.2, planned upgrade to 10, MIUI 12",2018
HP,HP Slate8 Pro,Android 4.2.2,2013
Asus,Asus Zenfone Max Shot ZB634KL,Android 8.0,2019
Microsoft,Microsoft Lumia 640 XL,Microsoft Windows Phone 8.1,2015
Emporia,Emporia Essence Plus,Feature phone,2012
alcatel,alcatel OT-S120,Feature phone,2008
Vertu,Vertu Ascent,Feature phone,2004
Realme,Realme Q2,"Android 10, Realme UI",2020
alcatel,alcatel Pixi 3 (3.5),Android 4.4.2,2015
Celkon,Celkon C770 Dj,Feature phone,2012
LG,LG T370 Cookie Smart,Feature phone,2012
HTC,HTC Schubert,Microsoft Windows Phone 7,0
Samsung,Samsung Mpower Txt M369,Feature phone,2010
Nokia,Nokia 5700,"Symbian 9.2, S60 rel. 3.1",2007
LG,LG KU311,Feature phone,2007
HTC,HTC Desire 526,"Android 5.1, Sense 7 UI",2015
Motorola,Motorola C333,Feature phone,2002
Huawei,Huawei Ascend Y300,Android 4.1,2013
Maxwest,Maxwest Orbit 4400,Android 4.2,2013
Lenovo,Lenovo IdeaPad A1,Android 2.3,2011
Samsung,Samsung Galaxy Tab Pro 12.2 LTE,"Android 4.4, TouchWiz UI",2014
LG,LG Spirit,"Android 5.0.1, up to 6.0.1",2015
Lenovo,Lenovo A6600,Android 6.0,2016
Garmin-Asus,Garmin-Asus nuvifone M10,Microsoft Windows Mobile 6.5.3 Professional,2010
vivo,vivo X21,"Android 8.1, Funtouch 4",2018
Gionee,Gionee Pioneer P4,Android 4.2,2014
Huawei,Huawei Y3II,"Android 5.1, EMUI 3.1",2016
Celkon,Celkon C260,Feature phone,2012
Motorola,Motorola V400p,Feature phone,2004
Samsung,Samsung Galaxy Note20 5G,"Android 10, up to Android 11, One UI 3.0",2020
Samsung,Samsung F270 Beat,Feature phone,2008
Samsung,Samsung X600,Feature phone,2003
Samsung,Samsung Galaxy S II Skyrocket i727,"Android 2.3.5, up to 4.1.2",2011
verykool,verykool s6001 Cyprus,Android 4.4.2,2015
Archos,Archos Diamond Omega,"Android 7.1, nubia UI 5",2017
Bird,Bird S799,Feature phone,0
alcatel,alcatel OT Easy,Feature phone,1998
Huawei,Huawei U1310,Feature phone,2008
Motorola,Motorola DROID Ultra,Android 4.2.2,2013
Sendo,Sendo X,"Symbian 6.1, Series 60 v1.0 UI",2003
Asus,Asus Zenfone Go ZB551KL,Android 5.1,2016
Philips,Philips Genie 2000,Feature phone,2000
Samsung,Samsung Corby TV F339,Feature phone,2010
Prestigio,Prestigio MultiPhone 5504 Duo,Android 4.4.2,2014
Samsung,Samsung Galaxy Fold 5G,"Android 9.0, up to Android 11, One UI 3.0",2019
Huawei,Huawei P9,"Android 6.0, up to 7.0, EMUI 4.1",2016
Honor,Honor View 20,"Android 9.0, up to Android 10, Magic UI 4.0",2018
Samsung,Samsung Galaxy Note20 5G,"Android 10, up to Android 11, One UI 3.0",2020
Vertu,Vertu Ascent Ferrari GT,Feature phone,2011
LG,LG U900,Feature phone,0
Neonode,Neonode N1,Microsoft Windows CE.NET,2003
Motorola,Motorola FIRE XT311,Android 2.3.4,2011
Mitac,Mitac MIO 8390,Microsoft Smartphone 2003,2003
BLU,BLU Jenny TV 2.8,Feature phone,2013
YU,YU Yureka Note,Android 5.1.1,2016
HTC,HTC Desire 820G+ dual sim,"Android 4.4.2, Sense UI 6",2015
Samsung,Samsung Impact sf,Feature phone,2008
vivo,"vivo Y51 (2020, December)","Android 11, Funtouch 11",2020
Archos,Archos 50 Oxygen,Android 4.2.2,2013
